,run_number,round_number,turn_number,partner_after_action_name,partner_after_action_personality_vector,partner_after_action_emotional_state,partner_after_action_location_state,partner_after_action_current_action_probs,partner_after_action_conversation_partner
42,0,2,78,Lillian,[1 1 1 1 1],[-0.4411162  -0.94751245  0.6572167 ],Hall,"{shouts: 0.05492109675770982, shares: 0.05973748611120801, leaves_conversation: 0.053330705027293715, makes_smalltalk: 0.05412076678459123, makes_deeptalk: 0.06756697344815249, gives_controversial_opinion: 0.047304368979583525, changes_the_topic: 0.105064080946373, shows_interest: 0.06756697344815249, shows_concern: 0.06683748753302142, laughs: 0.04847622944519753, jokes: 0.05360386615262684, gives_an_insult: 0.05461382037204842, brags: 0.05102053876180373, yawns: 0.09629819729896573, supports: 0.06492358856122397, rants: 0.05461382037204842}",Maria
43,0,2,79,Ronnie,[0 0 0 1 0],[ 0.11362503  0.52886883 -0.40159661],Hall,"{shouts: 0.05612994577600957, shares: 0.05986225562195311, leaves_conversation: 0.04065735481853262, makes_smalltalk: 0.08869590219156981, makes_deeptalk: 0.06494921384211436, gives_controversial_opinion: 0.043662961521333345, changes_the_topic: 0.03816014435730364, shows_interest: 0.08849363310436748, shows_concern: 0.08207138197195181, laughs: 0.07217752016235136, jokes: 0.05998329053646464, gives_an_insult: 0.044125966252603954, brags: 0.05275498421622763, yawns: 0.07812378058383608, supports: 0.08602569879077668, rants: 0.044125966252603954}",Edith
44,0,2,80,Robert,[0 1 1 0 0],[-0.64248249 -0.96240446 -0.78844457],Hall,"{stands_in_corner: 0.1943836593174584, leaves_room: 0.4813181662337288, starts_conversation: 0.3242981744488129}",Nola
45,0,2,81,Donald,[0 1 0 0 1],[-0.87764864  0.14513047  0.90502791],Kitchen,"{stands_in_corner: 0.3432873242342397, leaves_room: 0.3455255713013159, starts_conversation: 0.31118710446444436}",Jason
46,0,2,83,Agnes,[0 0 1 0 1],[ 0.32849554 -0.02514953 -0.29648712],Kitchen,"{shouts: 0.05431559093400083, shares: 0.07973973074186849, leaves_conversation: 0.050474666073725534, makes_smalltalk: 0.07875547318594844, makes_deeptalk: 0.07492803071732311, gives_controversial_opinion: 0.04654149325459676, changes_the_topic: 0.04583751163753442, shows_interest: 0.061734591177926304, shows_concern: 0.0663128274579498, laughs: 0.05837190922090169, jokes: 0.04970558386403366, gives_an_insult: 0.06306971546218838, brags: 0.05306826582105827, yawns: 0.0818570242996097, supports: 0.07221787068914629, rants: 0.06306971546218838}",Martin
47,0,2,85,Jacquelyn,[0 0 0 1 1],[ 0.20639919  0.54358113 -0.34864151],Hall,"{stands_in_corner: 0.41438581595810586, leaves_room: 0.27967005374302273, starts_conversation: 0.3059441302988715}",Johnny
48,0,2,86,Jerry,[1 1 0 1 0],[ 0.63885524  0.26009082 -0.86160213],Lounge,"{shouts: 0.05239082904913019, shares: 0.07955407952125185, leaves_conversation: 0.045890291733119475, makes_smalltalk: 0.05941079322916008, makes_deeptalk: 0.07700910756485732, gives_controversial_opinion: 0.04284477506561927, changes_the_topic: 0.04214549262873426, shows_interest: 0.10781119632784168, shows_concern: 0.06512208873652217, laughs: 0.07137193407641959, jokes: 0.05691245803728098, gives_an_insult: 0.04362861280586711, brags: 0.05306546276350762, yawns: 0.06730384748444718, supports: 0.09191041817037406, rants: 0.04362861280586711}",Elisabeth
49,0,2,87,Phyllis,[0 0 1 0 0],[ 0.84934999 -0.52184944  0.43311926],Kitchen,"{shouts: 0.06998240988600404, shares: 0.09406428615994203, leaves_conversation: 0.03691065460755908, makes_smalltalk: 0.07045873859139855, makes_deeptalk: 0.07349232277492328, gives_controversial_opinion: 0.046580149830006794, changes_the_topic: 0.05869845264676565, shows_interest: 0.05371040494888006, shows_concern: 0.04224498880059032, laughs: 0.059783596224302245, jokes: 0.05910504825471303, gives_an_insult: 0.044288852669954235, brags: 0.07281377480533407, yawns: 0.08674436133088867, supports: 0.06705118797274023, rants: 0.06407077049599745}",Catherine
50,0,2,88,Mauricio,[1 1 1 1 0],[ 1.         -0.77166702  0.53216072],Hall,"{shouts: 0.05941517188712154, shares: 0.090259023295312, leaves_conversation: 0.04190262965204539, makes_smalltalk: 0.05257239766495931, makes_deeptalk: 0.0768423231669856, gives_controversial_opinion: 0.04727420271163126, changes_the_topic: 0.06975435855324401, shows_interest: 0.0768423231669856, shows_concern: 0.05233639229332026, laughs: 0.05791019222894048, jokes: 0.06760783036917538, gives_an_insult: 0.043792105945339825, brags: 0.061973186965492665, yawns: 0.0818488425366915, supports: 0.07189261905710334, rants: 0.04777640050565194}",Vicki
51,0,2,90,Elisabeth,[1 0 1 1 0],[-0.51877004 -0.1052853  -0.88403942],Lounge,"{shouts: 0.056000591107205684, shares: 0.06937711104731166, leaves_conversation: 0.07088028435989686, makes_smalltalk: 0.058189083803766764, makes_deeptalk: 0.08259522622148308, gives_controversial_opinion: 0.04593336837690864, changes_the_topic: 0.04555981305348898, shows_interest: 0.08259522622148308, shows_concern: 0.07434435615809772, laughs: 0.05282850555340815, jokes: 0.06031089489411089, gives_an_insult: 0.044441733686244086, brags: 0.05258604319915872, yawns: 0.07096294667686413, supports: 0.08483044338294563, rants: 0.04856437225762587}",Jerry
52,0,2,91,David,[1 0 0 1 0],[-0.98247888 -0.03779117 -0.66646539],Hall,"{stands_in_corner: 0.2800032038941728, leaves_room: 0.36376164451761567, starts_conversation: 0.3562351515882115}",John
53,0,2,93,Dorothy,[0 0 1 1 0],[-0.80709744 -0.54318174 -0.02179227],Hall,"{stands_in_corner: 0.19313072856404156, leaves_room: 0.30043507207039755, starts_conversation: 0.506434199365561}",James
54,0,2,94,Vicki,[1 1 0 0 0],[0.30239219 0.90261929 0.48517604],Hall,"{shouts: 0.0826070592953353, shares: 0.0611210652251533, leaves_conversation: 0.04062193153703349, makes_smalltalk: 0.07558144345200186, makes_deeptalk: 0.0789322295435278, gives_controversial_opinion: 0.07427049690186963, changes_the_topic: 0.041776081892597045, shows_interest: 0.0789322295435278, shows_concern: 0.04816003920905357, laughs: 0.07006822670030163, jokes: 0.061376176039912494, gives_an_insult: 0.05441809115806955, brags: 0.06498215182001947, yawns: 0.06217364040530748, supports: 0.05056104611822008, rants: 0.05441809115806955}",Mauricio
55,0,2,95,Maria,[0 1 1 1 0],[ 0.41415085  0.78718703 -0.46622463],Hall,"{shouts: 0.06013522224365666, shares: 0.06373583740102591, leaves_conversation: 0.03530646237434534, makes_smalltalk: 0.08884861289401531, makes_deeptalk: 0.0806252068247052, gives_controversial_opinion: 0.04259666356968452, changes_the_topic: 0.03424809587338506, shows_interest: 0.0806252068247052, shows_concern: 0.06038612609743885, laughs: 0.07542989727403002, jokes: 0.06805823225037774, gives_an_insult: 0.041451660737711366, brags: 0.05934300406691439, yawns: 0.0561575416500557, supports: 0.10694938139225461, rants: 0.04610284852569416}",Lillian
56,0,3,96,David,[0 1 0 0 0],[-0.1368637   0.49381388 -0.29957426],Kitchen,"{stands_in_corner: 0.3772577896477762, leaves_room: 0.3353208914476207, starts_conversation: 0.28742131890460326}",Robin
57,0,3,97,Shawn,[0 0 1 1 1],[-0.34322762 -0.58742304  0.7159695 ],Lounge,"{shouts: 0.05612006606851828, shares: 0.05421964337842326, leaves_conversation: 0.04755748857268377, makes_smalltalk: 0.06346808068366404, makes_deeptalk: 0.058839945354777136, gives_controversial_opinion: 0.04719463703530623, changes_the_topic: 0.09173242541692331, shows_interest: 0.058839945354777136, shows_concern: 0.08598907253372269, laughs: 0.04731726602031499, jokes: 0.05434550987790981, gives_an_insult: 0.054899954296091735, brags: 0.05074862226691624, yawns: 0.0896650296643656, supports: 0.08416235917951408, rants: 0.054899954296091735}",Patrick
58,0,3,98,Edith,[0 1 1 1 1],[-0.65994512  0.72764681  0.95940514],Hall,"{shouts: 0.0760272864404497, shares: 0.04550899504574981, leaves_conversation: 0.03859659109485081, makes_smalltalk: 0.06619068905183577, makes_deeptalk: 0.05618191604431704, gives_controversial_opinion: 0.06553403690601141, changes_the_topic: 0.0382954474286547, shows_interest: 0.05618191604431704, shows_concern: 0.07228086721557814, laughs: 0.046399128262613616, jokes: 0.054342837077165994, gives_an_insult: 0.10469498402733929, brags: 0.051219244141427894, yawns: 0.05507740805687465, supports: 0.0687736691354751, rants: 0.10469498402733929}",Ronnie
59,0,3,99,Johnny,[1 0 1 0 1],[-0.78789892  0.25761999  0.31841591],Hall,"{shouts: 0.0631055590437853, shares: 0.0569841842126756, leaves_conversation: 0.050691936992616, makes_smalltalk: 0.0674781066930949, makes_deeptalk: 0.08985218645814888, gives_controversial_opinion: 0.060428308632645256, changes_the_topic: 0.05138270938868011, shows_interest: 0.06081252759927121, shows_concern: 0.06682365619451654, laughs: 0.04919377235922457, jokes: 0.04825174610956316, gives_an_insult: 0.0798213164398297, brags: 0.0509289965207032, yawns: 0.06703897291729914, supports: 0.05738470399811679, rants: 0.0798213164398297}",Jacquelyn
60,0,3,100,Catherine,[1 0 1 1 1],[-0.32544035 -0.30796557 -0.32601434],Kitchen,"{shouts: 0.053728846321304875, shares: 0.06473907360331309, leaves_conversation: 0.06226275112414698, makes_smalltalk: 0.06211629642746812, makes_deeptalk: 0.07611602652072175, gives_controversial_opinion: 0.04811457728452488, changes_the_topic: 0.052302487384743954, shows_interest: 0.07611602652072175, shows_concern: 0.08005110251843252, laughs: 0.051449477405910014, jokes: 0.05264625928166855, gives_an_insult: 0.05269528154458777, brags: 0.04972612538648831, yawns: 0.09016523630959222, supports: 0.07507515082178735, rants: 0.05269528154458777}",Phyllis
61,0,3,101,Martin,[1 0 0 1 1],[0.84055316 0.10557855 0.24797632],Kitchen,"{shouts: 0.04837283894166978, shares: 0.12725237976662038, leaves_conversation: 0.041636612156996766, makes_smalltalk: 0.051619382265147014, makes_deeptalk: 0.07380497183933617, gives_controversial_opinion: 0.043948516230279906, changes_the_topic: 0.043335514601115135, shows_interest: 0.10409390194404149, shows_concern: 0.08448085430195047, laughs: 0.06168638370165676, jokes: 0.05510830643437847, gives_an_insult: 0.04612371824956203, brags: 0.05293803549056789, yawns: 0.06320439942753497, supports: 0.06123316169554661, rants: 0.04116102295359608}",Agnes
62,0,3,102,James,[1 1 1 0 1],[ 0.24997589  0.80707418 -0.98042863],Hall,"{stands_in_corner: 0.5101871478078167, leaves_room: 0.2599109947369023, starts_conversation: 0.229901857455281}",Dorothy
63,0,3,103,Patrick,[0 0 0 0 1],[0.02583809 0.31520665 0.67324462],Lounge,"{shouts: 0.07120005919026597, shares: 0.052087914631015496, leaves_conversation: 0.056724502921217654, makes_smalltalk: 0.0697474676963047, makes_deeptalk: 0.059292215980321895, gives_controversial_opinion: 0.06558780722445966, changes_the_topic: 0.047707041895710435, shows_interest: 0.059292215980321895, shows_concern: 0.07621135288344147, laughs: 0.05465727843403276, jokes: 0.05180648895256027, gives_an_insult: 0.08645297818588636, brags: 0.054141345149009396, yawns: 0.08289583354529818, supports: 0.05106828887700828, rants: 0.06112720845314532}",Shawn
64,0,3,104,Robin,[0 0 0 0 0],[0.51343317 0.65484936 0.13013754],Kitchen,"{stands_in_corner: 0.3390518990501338, leaves_room: 0.36345035411379356, starts_conversation: 0.2974977468360726}",David
65,0,3,105,Jason,[1 0 0 0 1],[-0.89485326 -0.86823447  0.44425554],Kitchen,"{stands_in_corner: 0.2970204665016226, leaves_room: 0.3569913388465403, starts_conversation: 0.3459881946518371}",Donald
66,0,3,107,Donald,[0 1 1 0 1],[-0.26550723 -0.90264979 -0.19857024],Kitchen,"{shouts: 0.051607360694437485, shares: 0.0566939858033617, leaves_conversation: 0.06830387025907855, makes_smalltalk: 0.06446348840632248, makes_deeptalk: 0.06109689524529789, gives_controversial_opinion: 0.041802440359600464, changes_the_topic: 0.05593243579979159, shows_interest: 0.05135553831223891, shows_concern: 0.061964265890717414, laughs: 0.04843879752272649, jokes: 0.04646101280632492, gives_an_insult: 0.060589004738848255, brags: 0.049377753595837334, yawns: 0.16117055893044413, supports: 0.060153586896124066, rants: 0.060589004738848255}",Michael
67,0,3,108,Nola,[1 0 0 0 0],[ 0.3536797   0.42106975 -1.        ],Hall,"{stands_in_corner: 0.4152864517525908, leaves_room: 0.32245969634218524, starts_conversation: 0.26225385190522404}",Robert
